Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
Microsoft Application Virtualization 4.6,Service Pack 3,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Original Release,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 1,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 2,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 3,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Original Release,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 1,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 2,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 3,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Original Release,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 1,2026-04-14,,microsoft,,,
Microsoft Application Virtualization 5.0,Service Pack 2,2026-04-14,,microsoft,,,
